value
NA
antimony
chromium
arsenic
mercury
barium
cu
coal ash
copper
thallium
zinc
universal wastes
lead
lead paint
pesticide
acis
base
cadmium
nickel
dros
gro/dro
mold
uws
as
pb
aluminum
svoc
cadmium barium
selenium
silver
pesticides
arsenci
hg
cr
biological waste
chloride
sodium
ba

vanadium
chlorinated solvents
cobalt
trichlorofluoromethane (freon)
pfas
universal waste
urban fill with low metals
amp
pahs
hazardous building materials
miscellaneous chemicals and solvents in
